Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Leon Douglas,23,DET,C,79,,25.2,4.1,8.4,.481,4.1,8.4,.481,.481,2.8,4.4,.641,2.3,5.1,7.4,1.4,0.7,0.6,2.5,3.7,10.9,
Bubbles Hawkins,23,NJN,SG,15,,22.9,4.6,10.0,.460,4.6,10.0,.460,.460,1.7,1.9,.862,1.4,1.9,3.3,2.5,1.5,0.9,2.9,3.4,10.9,
John Johnson,30,2TM,SF,77,,23.7,4.4,10.7,.415,4.4,10.7,.415,.415,1.7,2.3,.751,1.3,2.7,4.0,2.7,0.6,0.2,2.2,2.6,10.6,
John Johnson,30,HOU,SF,1,,11.0,1.0,4.0,.250,1.0,4.0,.250,.250,2.0,3.0,.667,2.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,4.0,
John Johnson,30,SEA,SF,76,,23.8,4.5,10.8,.416,4.5,10.8,.416,.416,1.7,2.3,.753,1.3,2.7,4.0,2.8,0.6,0.3,2.2,2.6,10.7,
Jack Sikma,22,SEA,PF,82,,27.3,4.2,9.2,.455,4.2,9.2,.455,.455,2.3,3.0,.777,2.4,5.9,8.3,1.6,0.8,0.5,2.3,3.7,10.7,ROY-4
Johnny Davis,22,POR,SG,82,,26.7,4.2,9.2,.454,4.2,9.2,.454,.454,2.3,2.8,.828,0.8,1.3,2.1,2.6,1.0,0.2,1.8,2.1,10.7,
Ralph Simpson,28,2TM,SG,64,,20.7,3.4,9.0,.375,3.4,9.0,.375,.375,1.3,1.6,.817,0.8,1.6,2.5,2.5,1.2,0.1,2.0,1.4,8.1,
Ralph Simpson,28,DET,SG,32,,23.1,4.5,10.8,.413,4.5,10.8,.413,.413,1.7,2.0,.844,0.8,1.7,2.6,2.7,1.0,0.1,2.4,1.5,10.6,
Ralph Simpson,28,DEN,SG,32,,18.3,2.3,7.2,.317,2.3,7.2,.317,.317,1.0,1.3,.775,0.8,1.5,2.3,2.3,1.3,0.1,1.5,1.3,5.5,
Dwight Jones,25,HOU,PF,82,,30.2,4.2,9.5,.445,4.2,9.5,.445,.445,2.2,2.8,.777,2.6,5.2,7.8,1.3,0.9,0.5,2.0,3.2,10.6,
Eddie Johnson,22,ATL,SG,79,,23.7,4.2,8.7,.484,4.2,8.7,.484,.484,2.1,2.5,.816,0.6,1.3,1.9,3.0,1.3,0.1,2.1,2.9,10.5,
Chris Ford,29,DET,SG,82,,31.5,4.6,9.5,.481,4.6,9.5,.481,.481,1.4,1.9,.734,1.4,1.8,3.3,4.6,2.0,0.2,2.8,2.2,10.5,
Kevin Kunnert,26,HOU,C,80,,26.9,4.6,10.5,.437,4.6,10.5,.437,.437,1.2,1.7,.689,3.3,5.4,8.7,1.2,0.6,1.1,1.8,3.9,10.4,
Bob Carrington,24,2TM,SG,72,,23.0,3.5,8.2,.430,3.5,8.2,.430,.430,1.8,2.4,.760,1.0,1.4,2.4,1.6,0.9,0.3,1.6,2.8,8.8,
Bob Carrington,24,NJN,SG,37,,27.9,4.2,10.6,.401,4.2,10.6,.401,.401,1.9,2.6,.742,1.1,1.9,3.0,1.5,1.2,0.3,1.8,3.6,10.4,
Bob Carrington,24,IND,SG,35,,17.7,2.7,5.6,.487,2.7,5.6,.487,.487,1.7,2.1,.784,0.8,1.0,1.8,1.8,0.6,0.3,1.5,2.1,7.1,
John Mengelt,28,CHI,SG,81,,21.8,4.0,8.3,.481,4.0,8.3,.481,.481,2.3,2.9,.773,0.5,1.1,1.6,2.9,0.6,0.0,1.5,2.1,10.3,
Bingo Smith,31,CLE,SG,82,,19.3,4.5,10.2,.439,4.5,10.2,.439,.439,1.3,1.6,.800,0.8,1.7,2.5,1.1,0.5,0.3,1.0,1.9,10.3,
Rich Kelley,24,NOJ,C,82,,25.8,3.7,7.3,.505,3.7,7.3,.505,.505,2.7,3.5,.779,3.0,6.2,9.3,2.8,1.1,1.6,2.7,3.6,10.2,
Tom Owens,28,POR,C,82,,20.9,3.8,7.8,.490,3.8,7.8,.490,.490,2.5,3.4,.741,2.4,4.2,6.6,2.0,0.4,0.5,1.9,3.2,10.1,
Eddie Jordan,23,2TM,PG,73,,16.6,2.9,7.4,.400,2.9,7.4,.400,.400,1.8,2.3,.784,0.5,1.2,1.6,2.4,1.7,0.3,1.5,1.3,7.7,
Eddie Jordan,23,CLE,PG,22,,7.8,0.9,2.5,.339,0.9,2.5,.339,.339,0.5,0.7,.750,0.1,0.4,0.5,1.5,0.5,0.0,0.6,0.5,2.3,
Eddie Jordan,23,NJN,PG,51,,20.4,3.8,9.5,.407,3.8,9.5,.407,.407,2.3,3.0,.788,0.6,1.5,2.1,2.8,2.2,0.4,1.8,1.6,10.0,
Bill Robinzine,25,KCK,PF,82,,21.3,3.7,8.3,.451,3.7,8.3,.451,.451,2.5,3.3,.760,2.1,4.5,6.6,0.9,0.9,0.1,2.1,3.4,10.0,
Tom McMillen,25,ATL,C,68,,24.8,4.1,8.4,.493,4.1,8.4,.493,.493,1.7,2.1,.800,2.2,3.9,6.1,1.2,0.5,0.2,1.6,3.4,9.9,
Armond Hill,24,ATL,PG,82,,30.9,3.7,8.9,.415,3.7,8.9,.415,.415,2.3,2.7,.848,0.7,2.1,2.8,5.2,1.8,0.2,2.9,3.7,9.7,
Alex English,24,MIL,SF,82,,18.9,4.2,7.7,.542,4.2,7.7,.542,.542,1.3,1.7,.727,1.8,3.1,4.8,1.6,0.5,0.7,1.7,2.2,9.6,
Anthony Roberts,22,DEN,SF,82,,19.5,3.8,9.0,.423,3.8,9.0,.423,.423,1.9,2.6,.722,1.6,2.6,4.3,1.3,0.5,0.1,1.4,2.6,9.5,
Bird Averitt,25,2TM,SG,55,,19.7,3.6,8.8,.409,3.6,8.8,.409,.409,1.8,2.6,.709,0.3,1.2,1.5,3.6,0.7,0.2,2.6,2.2,9.0,
Bird Averitt,25,NJN,SG,21,,19.5,3.3,9.0,.367,3.3,9.0,.367,.367,1.7,2.1,.800,0.3,1.2,1.6,3.2,0.8,0.0,2.6,1.8,8.3,
Bird Averitt,25,BUF,SG,34,,19.9,3.8,8.7,.436,3.8,8.7,.436,.436,1.9,2.8,.667,0.3,1.2,1.5,3.8,0.6,0.2,2.6,2.5,9.5,
Butch Beard,30,NYK,PG,79,,25.1,3.9,7.8,.502,3.9,7.8,.502,.502,1.6,2.0,.806,1.0,2.4,3.3,4.3,1.5,0.0,1.9,2.5,9.4,
Jim McElroy,24,NOJ,PG,74,,23.8,3.9,8.2,.473,3.9,8.2,.473,.473,1.7,2.3,.737,0.6,1.4,2.0,3.9,0.8,0.5,1.9,1.5,9.4,
Quinn Buckner,23,MIL,PG,82,,25.3,3.8,8.2,.468,3.8,8.2,.468,.468,1.6,2.5,.645,1.0,2.1,3.0,5.6,2.3,0.2,2.8,3.5,9.3,
Ray Williams,23,NYK,PG,81,,19.1,3.8,8.5,.443,3.8,8.5,.443,.443,1.8,2.6,.705,1.0,1.5,2.6,4.5,1.3,0.2,3.0,2.6,9.3,
Steve Mix,30,PHI,SF,82,20,22.2,3.5,6.8,.520,3.5,6.8,.520,.520,2.1,2.7,.795,1.2,2.5,3.6,2.1,1.1,0.0,1.6,1.9,9.2,
Larry Wright,23,WSB,PG,70,,20.9,4.0,8.1,.496,4.0,8.1,.496,.496,1.1,1.5,.710,0.4,1.0,1.5,3.7,1.0,0.2,1.9,2.8,9.2,
Henry Bibby,28,PHI,PG,82,82,30.7,3.5,8.0,.434,3.5,8.0,.434,.434,2.1,2.7,.781,0.8,2.3,3.1,5.7,1.1,0.1,1.9,2.5,9.1,
Louie Dampier,33,SAS,PG,82,,24.8,4.1,8.0,.509,4.1,8.0,.509,.509,0.9,1.2,.752,0.3,1.2,1.5,3.5,1.1,0.2,1.2,1.0,9.1,
Mike Gale,27,SAS,SG,70,,29.9,3.9,8.3,.473,3.9,8.3,.473,.473,1.2,1.4,.870,0.8,2.4,3.2,5.4,2.3,0.4,2.5,2.4,9.1,
Ken Charles,26,ATL,SG,21,,24.8,3.5,8.8,.397,3.5,8.8,.397,.397,2.0,2.4,.840,0.3,0.9,1.1,3.9,1.2,0.2,1.8,2.5,9.0,
Foots Walker,26,CLE,PG,81,,30.8,3.5,7.9,.448,3.5,7.9,.448,.448,2.0,2.7,.719,0.9,2.7,3.6,5.6,2.2,0.3,2.2,2.7,9.0,
Terry Furlow,23,CLE,SG,53,,15.6,3.6,8.4,.433,3.6,8.4,.433,.433,1.7,1.9,.889,0.9,1.1,2.0,1.4,0.4,0.3,1.5,1.3,8.9,
Dave Twardzik,27,POR,PG,75,,24.3,3.2,5.5,.592,3.2,5.5,.592,.592,2.4,3.1,.782,0.5,1.3,1.8,3.3,1.4,0.1,2.1,2.5,8.9,
Cazzie Russell,33,CHI,SF,36,,21.9,3.7,8.4,.438,3.7,8.4,.438,.438,1.4,1.6,.860,0.9,1.4,2.3,1.7,0.5,0.1,1.0,1.8,8.8,
Clifford Ray,29,GSW,C,79,,28.7,3.4,6.0,.571,3.4,6.0,.571,.571,1.9,3.1,.609,3.0,6.6,9.6,1.9,0.9,1.1,1.9,3.7,8.8,
Wilson Washington,22,2TM,PF,38,,14.8,2.6,5.4,.485,2.6,5.4,.485,.485,0.8,1.4,.547,1.3,2.8,4.1,0.3,0.5,1.0,1.7,2.0,6.0,
Wilson Washington,22,PHI,PF,14,,2.7,0.6,1.4,.421,0.6,1.4,.421,.421,0.2,0.4,.500,0.1,0.9,1.0,0.1,0.1,0.1,0.7,0.2,1.4,
Wilson Washington,22,NJN,PF,24,,21.8,3.8,7.8,.492,3.8,7.8,.492,.492,1.1,2.0,.553,2.0,3.9,5.9,0.4,0.7,1.5,2.2,3.0,8.8,
Joe Meriweather,24,NOJ,C,54,,23.6,3.6,7.6,.472,3.6,7.6,.472,.472,1.6,2.5,.654,2.5,4.4,6.9,1.1,0.3,2.2,1.7,3.5,8.8,
George Johnson,29,NJN,C,81,,29.8,3.5,8.9,.395,3.5,8.9,.395,.395,1.6,2.3,.719,3.0,6.6,9.6,1.4,1.0,3.4,2.7,4.2,8.7,
Tom Burleson,25,KCK,C,76,,20.1,3.0,6.9,.434,3.0,6.9,.434,.434,2.6,3.3,.794,2.2,4.1,6.3,1.7,0.8,1.1,1.6,3.4,8.6,
Sam Lacey,29,KCK,C,77,,27.7,3.4,7.7,.449,3.4,7.7,.449,.449,1.7,2.4,.717,2.0,6.3,8.3,3.9,1.6,1.4,2.4,3.4,8.6,
Ollie Johnson,28,ATL,SF,82,,20.8,3.6,7.5,.472,3.6,7.5,.472,.472,1.4,1.6,.854,1.1,2.1,3.2,1.5,1.0,0.4,1.3,2.2,8.5,
Kevin Stacom,26,BOS,SG,55,,18.3,3.7,8.8,.426,3.7,8.8,.426,.426,1.0,1.3,.761,0.5,1.5,1.9,2.0,0.5,0.1,1.3,1.1,8.5,
Dave Robisch,28,2TM,C,78,,16.4,2.3,5.5,.412,2.3,5.5,.412,.412,1.3,1.7,.775,1.3,3.2,4.5,1.1,0.5,0.4,0.9,1.7,5.8,
Dave Robisch,28,IND,C,23,,26.0,3.2,7.9,.403,3.2,7.9,.403,.403,2.2,2.8,.781,2.0,5.5,7.5,2.1,0.9,0.7,1.5,2.6,8.5,
Dave Robisch,28,LAL,C,55,,12.3,1.9,4.5,.418,1.9,4.5,.418,.418,0.9,1.2,.769,1.0,2.3,3.3,0.7,0.3,0.3,0.7,1.3,4.7,
John Gianelli,27,MIL,C,82,,28.4,3.7,7.7,.488,3.7,7.7,.488,.488,1.0,1.5,.642,2.0,4.2,6.2,2.3,0.7,1.1,1.8,2.3,8.5,
Louie Nelson,26,2TM,SG,33,,12.3,2.6,6.4,.403,2.6,6.4,.403,.403,1.7,2.5,.679,0.4,1.2,1.6,1.0,0.7,0.2,1.5,1.0,6.9,
Louie Nelson,26,KCK,SG,8,,6.6,0.4,1.8,.214,0.4,1.8,.214,.214,1.1,1.4,.818,0.1,0.3,0.4,0.6,0.3,0.1,1.0,0.6,1.9,
Louie Nelson,26,NJN,SG,25,,14.1,3.3,7.9,.416,3.3,7.9,.416,.416,1.9,2.9,.658,0.5,1.5,2.0,1.2,0.8,0.2,1.6,1.1,8.5,
Jim McMillian,29,NYK,SF,81,,24.4,3.6,7.7,.462,3.6,7.7,.462,.462,1.4,1.7,.858,1.0,2.6,3.6,2.5,0.9,0.2,1.3,1.4,8.5,
Don Buse,27,PHO,PG,82,,31.1,3.5,7.6,.458,3.5,7.6,.458,.458,1.4,1.7,.824,0.7,2.3,3.0,4.8,2.3,0.2,1.5,1.8,8.4,
Charles Johnson,28,2TM,SG,71,,18.3,3.3,8.2,.408,3.3,8.2,.408,.408,0.7,0.9,.803,0.6,1.6,2.2,1.8,0.9,0.1,1.0,1.8,7.4,
Charles Johnson,28,GSW,SG,32,,15.4,3.0,7.3,.409,3.0,7.3,.409,.409,0.2,0.3,.700,0.7,1.2,1.9,1.5,1.0,0.1,0.7,1.7,6.2,
Charles Johnson,28,WSB,SG,39,,20.7,3.6,8.9,.408,3.6,8.9,.408,.408,1.1,1.3,.824,0.5,1.9,2.4,2.1,0.8,0.0,1.3,1.9,8.3,
Mark Olberding,21,SAS,PF,79,,22.4,2.9,6.1,.481,2.9,6.1,.481,.481,2.3,2.9,.811,1.3,3.4,4.7,1.7,0.6,0.3,1.5,3.0,8.2,
Allan Bristow,26,SAS,SF,82,,18.1,3.1,6.6,.478,3.1,6.6,.478,.478,1.9,2.5,.731,1.2,1.9,3.1,2.4,0.8,0.0,1.8,1.8,8.1,
Larry Steele,28,POR,SG,65,,17.4,3.2,6.9,.470,3.2,6.9,.470,.470,1.5,1.9,.820,0.5,1.2,1.7,1.3,0.9,0.1,1.0,2.1,8.0,
Gus Gerard,24,2TM,SF,57,,15.6,3.0,6.9,.430,3.0,6.9,.430,.430,1.3,1.9,.694,1.0,1.8,2.8,0.9,0.6,0.4,1.1,1.9,7.3,
Gus Gerard,24,BUF,SF,10,,8.5,1.6,4.0,.400,1.6,4.0,.400,.400,1.1,1.5,.733,0.6,0.8,1.4,0.9,0.2,0.3,0.7,1.3,4.3,
Gus Gerard,24,DET,SF,47,,17.1,3.3,7.6,.434,3.3,7.6,.434,.434,1.4,2.0,.688,1.0,2.1,3.1,0.9,0.7,0.5,1.1,2.0,7.9,
Mike Glenn,22,BUF,SG,56,,16.9,3.5,6.6,.527,3.5,6.6,.527,.527,0.9,1.2,.785,0.3,1.2,1.4,1.4,0.6,0.1,0.9,1.8,7.9,
Bruce Seals,24,SEA,SF,73,,18.1,3.2,7.5,.417,3.2,7.5,.417,.417,1.5,2.4,.634,0.8,2.2,3.1,1.1,0.6,0.5,1.4,2.9,7.8,
Slick Watts,26,2TM,PG,71,,22.3,3.1,7.9,.392,3.1,7.9,.392,.392,1.3,2.2,.590,0.8,1.7,2.5,4.1,1.5,0.4,2.4,2.6,7.5,
Slick Watts,26,SEA,PG,32,,25.3,3.4,8.5,.404,3.4,8.5,.404,.404,0.9,1.7,.566,0.7,1.9,2.5,4.2,1.7,0.4,2.9,2.8,7.8,
Slick Watts,26,NOJ,PG,39,,19.9,2.8,7.3,.381,2.8,7.3,.381,.381,1.6,2.6,.602,1.0,1.5,2.5,4.1,1.4,0.4,1.9,2.5,7.2,
Gar Heard,29,PHO,PF,80,,26.2,3.3,7.8,.424,3.3,7.8,.424,.424,1.1,1.8,.612,2.1,6.1,8.2,1.7,1.6,1.3,1.5,2.7,7.8,
Don Ford,25,LAL,PF,79,,24.6,3.4,7.3,.472,3.4,7.3,.472,.472,0.9,1.1,.756,1.3,3.1,4.5,1.8,0.9,0.6,1.1,2.7,7.7,
Kent Benson,23,MIL,C,69,,18.7,3.2,6.9,.465,3.2,6.9,.465,.465,1.3,2.0,.652,1.3,3.0,4.3,1.4,1.0,0.8,1.7,2.6,7.7,
Tree Rollins,22,ATL,C,80,,22.4,3.2,6.5,.487,3.2,6.5,.487,.487,1.3,1.9,.703,2.2,4.7,6.9,1.0,0.7,2.7,1.5,4.1,7.6,
Wes Unseld,31,WSB,C,80,,33.1,3.2,6.1,.523,3.2,6.1,.523,.523,1.2,2.2,.538,3.6,8.4,11.9,4.1,1.2,0.6,2.2,2.9,7.6,
Coby Dietrick,29,SAS,PF,79,,23.7,3.2,6.9,.460,3.2,6.9,.460,.460,1.1,1.4,.781,0.9,3.6,4.5,2.7,1.0,0.7,1.8,2.9,7.5,
John Brown,26,ATL,SF,75,,21.3,2.6,5.4,.474,2.6,5.4,.474,.474,2.2,2.7,.825,1.8,2.2,4.0,1.4,0.7,0.1,1.5,3.7,7.3,
Cedric Maxwell,22,BOS,SF,72,,16.8,2.4,4.4,.538,2.4,4.4,.538,.538,2.6,3.5,.752,1.9,3.3,5.3,0.9,0.7,0.7,1.7,2.1,7.3,
Norm Van Lier,30,CHI,PG,78,,32.4,2.6,6.1,.419,2.6,6.1,.419,.419,2.2,2.9,.751,1.1,2.5,3.6,6.8,1.8,0.1,2.6,3.6,7.3,
Robert Reid,22,HOU,SF,80,,23.1,3.3,7.2,.455,3.3,7.2,.455,.455,0.8,1.2,.656,1.4,3.1,4.5,1.5,0.8,0.6,1.0,3.5,7.3,
Chuck Williams,31,BUF,PG,73,,27.4,2.8,6.0,.477,2.8,6.0,.477,.477,1.6,1.9,.826,0.4,1.5,1.9,4.3,0.7,0.1,2.1,1.9,7.3,
Tom Boswell,24,BOS,PF,65,,17.7,2.8,5.5,.518,2.8,5.5,.518,.518,1.4,1.9,.756,1.8,2.6,4.4,1.1,0.4,0.2,1.5,3.1,7.1,
Alonzo Bradley,24,HOU,SF,43,,18.6,3.0,7.1,.428,3.0,7.1,.428,.428,1.0,1.4,.729,0.6,1.7,2.3,1.3,0.4,0.1,1.3,1.9,7.0,
Ernie Grunfeld,22,MIL,SG,73,,17.3,2.8,6.3,.443,2.8,6.3,.443,.443,1.3,2.0,.657,1.0,1.7,2.7,2.0,0.7,0.3,1.3,2.1,6.9,
Wil Jones,30,BUF,PF,79,,21.7,2.9,6.5,.440,2.9,6.5,.440,.440,1.1,1.5,.706,1.3,2.9,4.2,1.5,0.9,0.5,1.7,3.2,6.8,
Tom Abernethy,23,LAL,SF,73,,18.0,2.8,5.5,.498,2.8,5.5,.498,.498,1.2,1.5,.820,1.4,2.2,3.6,1.4,0.8,0.3,0.7,1.7,6.8,
Bill Willoughby,20,BUF,SF,56,,19.3,2.8,6.5,.430,2.8,6.5,.430,.430,1.1,1.4,.800,1.4,2.6,3.9,0.7,0.4,0.8,1.0,2.3,6.7,
Jim Bostic,25,DET,PF,4,,12.0,3.0,5.5,.545,3.0,5.5,.545,.545,0.5,1.3,.400,2.0,2.0,4.0,0.8,0.0,0.0,0.8,1.3,6.5,
Jim Cleamons,28,NYK,PG,79,,25.4,2.7,5.7,.480,2.7,5.7,.480,.480,1.0,1.3,.786,0.9,1.8,2.7,3.6,0.9,0.2,1.4,1.8,6.5,
Wally Walker,23,2TM,SF,77,,14.3,2.6,6.0,.443,2.6,6.0,.443,.443,1.0,1.6,.625,1.1,1.7,2.8,1.0,0.3,0.1,1.0,1.8,6.3,
Wally Walker,23,POR,SF,9,,11.2,2.1,4.6,.463,2.1,4.6,.463,.463,0.6,0.9,.625,0.8,1.1,1.9,0.9,0.2,0.0,1.2,1.4,4.8,
Wally Walker,23,SEA,SF,68,,14.8,2.7,6.2,.440,2.7,6.2,.440,.440,1.0,1.6,.625,1.2,1.8,3.0,1.0,0.4,0.1,1.0,1.8,6.5,
E.C. Coleman,27,GSW,PF,72,,25.0,2.9,6.2,.475,2.9,6.2,.475,.475,0.6,0.8,.727,1.6,3.6,5.2,1.4,0.9,0.3,1.3,3.5,6.4,
Toby Knight,22,NYK,SF,80,,14.6,2.8,5.8,.477,2.8,5.8,.477,.477,0.8,1.2,.649,1.5,2.5,4.0,0.5,0.6,0.4,1.2,2.6,6.3,
Jacky Dorsey,23,2TM,SF,11,,8.0,1.1,2.8,.387,1.1,2.8,.387,.387,0.9,1.5,.625,1.0,1.7,2.7,0.5,0.2,0.3,0.5,1.5,3.1,
Jacky Dorsey,23,DEN,SF,7,,5.3,0.4,1.7,.250,0.4,1.7,.250,.250,0.4,0.7,.600,0.7,2.1,2.9,0.3,0.3,0.3,0.4,1.3,1.3,
Jacky Dorsey,23,POR,SF,4,,12.8,2.3,4.8,.474,2.3,4.8,.474,.474,1.8,2.8,.636,1.5,1.0,2.5,0.8,0.0,0.3,0.8,2.0,6.3,
Derrek Dickey,26,2TM,PF,47,,10.5,1.9,4.2,.439,1.9,4.2,.439,.439,0.6,0.8,.833,0.8,1.3,2.1,0.4,0.3,0.1,0.9,1.2,4.3,
Derrek Dickey,26,GSW,PF,22,,12.4,2.7,5.9,.462,2.7,5.9,.462,.462,0.7,0.8,.941,1.0,1.3,2.2,0.5,0.5,0.1,0.8,1.3,6.2,
Derrek Dickey,26,CHI,PF,25,,8.8,1.1,2.7,.397,1.1,2.7,.397,.397,0.6,0.8,.737,0.6,1.3,1.9,0.4,0.2,0.1,0.9,1.1,2.7,
Kenny Carr,22,LAL,PF,52,,14.1,2.6,5.8,.444,2.6,5.8,.444,.444,1.1,1.6,.647,1.0,3.0,4.0,0.5,0.3,0.3,1.7,2.4,6.2,
Curtis Rowe,28,BOS,PF,51,,17.9,2.4,5.4,.451,2.4,5.4,.451,.451,1.3,1.7,.742,1.5,2.5,4.0,0.9,0.3,0.2,1.5,1.8,6.1,
Mack Calvin,30,DEN,PG,77,,12.8,1.9,4.3,.441,1.9,4.3,.441,.441,2.2,2.7,.840,0.1,0.9,1.1,1.9,0.6,0.1,1.4,1.1,6.1,
Joe Bryant,23,PHI,PF,81,,15.3,2.3,5.4,.436,2.3,5.4,.436,.436,1.4,1.8,.771,1.3,2.2,3.5,1.6,0.7,0.3,1.4,2.3,6.1,
Alvin Scott,22,PHO,SF,81,,19.0,2.2,4.6,.488,2.2,4.6,.488,.488,1.6,2.4,.691,1.7,2.7,4.4,1.1,0.6,0.5,1.0,2.0,6.1,
Curtis Perry,29,PHO,PF,45,,18.2,2.4,5.4,.453,2.4,5.4,.453,.453,1.1,1.4,.785,1.9,3.6,5.6,1.1,0.8,0.5,1.4,2.7,6.0,
Tony Robertson,22,ATL,SG,63,,14.7,2.7,6.0,.441,2.7,6.0,.441,.441,0.6,0.8,.698,0.2,0.9,1.1,1.6,1.2,0.1,1.4,2.1,5.9,
Paul Silas,34,SEA,PF,82,,26.5,2.2,5.7,.397,2.2,5.7,.397,.397,1.3,2.3,.586,3.5,4.6,8.1,1.8,0.8,0.2,1.9,2.2,5.8,
Willie Norwood,30,2TM,SF,35,,17.5,2.1,5.2,.409,2.1,5.2,.409,.409,1.4,2.1,.667,1.4,2.0,3.4,0.9,0.9,0.1,1.6,2.9,5.7,
Willie Norwood,30,DET,SF,16,,16.3,2.1,5.1,.415,2.1,5.1,.415,.415,1.3,1.8,.690,1.7,1.7,3.4,0.9,0.8,0.2,1.1,2.8,5.5,
Willie Norwood,30,POR,SF,19,,18.5,2.1,5.2,.404,2.1,5.2,.404,.404,1.6,2.4,.652,1.2,2.3,3.4,1.0,0.9,0.0,2.1,2.9,5.8,
Mark Landsberger,22,CHI,PF,62,,14.9,2.0,4.0,.506,2.0,4.0,.506,.506,1.5,2.5,.580,1.8,3.1,4.9,0.7,0.3,0.1,1.1,1.3,5.6,
Jim McDaniels,29,BUF,C,42,,16.5,2.4,5.6,.427,2.4,5.6,.427,.427,0.9,1.0,.857,1.1,3.2,4.3,1.0,0.1,0.9,1.2,2.7,5.6,
Mark Crow,23,NJN,SF,15,,10.3,2.3,5.3,.438,2.3,5.3,.438,.438,0.9,1.3,.700,0.9,0.9,1.8,0.5,0.3,0.1,0.8,1.6,5.6,
Jim Eakins,31,2TM,C,33,,12.3,1.3,2.6,.512,1.3,2.6,.512,.512,1.5,1.8,.833,0.9,1.4,2.3,0.9,0.2,0.5,1.0,2.2,4.2,
Jim Eakins,31,SAS,C,16,,15.7,1.9,3.3,.577,1.9,3.3,.577,.577,1.8,2.1,.853,1.1,1.8,2.9,1.1,0.2,0.6,1.5,2.9,5.6,
Jim Eakins,31,MIL,C,17,,9.1,0.8,2.0,.412,0.8,2.0,.412,.412,1.2,1.5,.808,0.7,1.0,1.7,0.7,0.2,0.4,0.5,1.5,2.9,
Bob Nash,27,KCK,SF,66,,12.1,2.4,4.6,.516,2.4,4.6,.516,.516,0.8,1.0,.725,1.1,1.4,2.6,0.7,0.4,0.3,0.7,1.1,5.5,
Len Elmore,25,IND,C,69,,19.2,2.1,5.6,.368,2.1,5.6,.368,.368,1.3,1.9,.667,2.0,4.1,6.1,1.2,1.1,1.0,1.1,2.5,5.4,
Tim Bassett,26,NJN,PF,65,,22.7,2.3,5.9,.388,2.3,5.9,.388,.388,0.8,1.5,.515,2.2,4.0,6.2,1.0,1.0,0.5,1.2,2.8,5.4,
Caldwell Jones,27,PHI,C,80,69,20.5,2.1,4.5,.471,2.1,4.5,.471,.471,1.2,1.9,.627,2.1,5.1,7.1,1.2,0.3,1.6,1.6,3.5,5.4,
Corky Calhoun,27,POR,SF,79,,17.3,2.2,4.6,.479,2.2,4.6,.479,.479,0.8,1.0,.868,0.9,1.8,2.7,1.1,0.5,0.2,0.8,1.8,5.3,
Paul Griffin,24,NOJ,PF,82,,22.6,2.0,4.4,.447,2.0,4.4,.447,.447,1.4,1.9,.713,1.9,4.3,6.2,2.1,1.1,0.5,1.8,2.8,5.3,
Ted McClain,31,2TM,PG,70,,14.6,1.8,4.0,.439,1.8,4.0,.439,.439,0.8,1.0,.781,0.3,1.3,1.6,2.2,0.8,0.1,1.3,1.8,4.3,
Ted McClain,31,BUF,PG,41,,17.7,2.0,4.5,.440,2.0,4.5,.440,.440,1.2,1.5,.794,0.3,1.6,1.8,3.0,1.0,0.0,1.7,2.1,5.2,
Ted McClain,31,PHI,PG,29,,10.1,1.4,3.3,.438,1.4,3.3,.438,.438,0.2,0.3,.700,0.3,1.0,1.3,1.2,0.6,0.1,0.8,1.2,3.1,
Don Chaney,31,2TM,SG,51,,16.4,2.0,5.3,.387,2.0,5.3,.387,.387,0.7,0.9,.844,0.8,1.5,2.3,1.3,0.9,0.3,1.2,2.1,4.8,
Don Chaney,31,LAL,SG,9,,14.8,1.4,4.0,.361,1.4,4.0,.361,.361,0.6,0.7,.833,0.4,0.8,1.2,1.9,0.9,0.3,1.2,1.6,3.4,
Don Chaney,31,BOS,SG,42,,16.7,2.2,5.5,.391,2.2,5.5,.391,.391,0.8,0.9,.846,0.9,1.6,2.5,1.2,0.9,0.2,1.2,2.2,5.1,
Nick Weatherspoon,27,CHI,SF,41,,14.9,2.1,4.7,.443,2.1,4.7,.443,.443,0.9,1.0,.881,1.4,1.7,3.0,0.8,0.5,0.2,1.2,1.8,5.1,
Jim Brewer,26,CLE,PF,80,,22.5,2.2,4.9,.449,2.2,4.9,.449,.449,0.6,1.3,.460,2.3,3.9,6.2,1.2,0.8,0.6,1.3,2.2,5.0,
Charles Dudley,27,GSW,PG,78,,21.3,1.6,3.2,.510,1.6,3.2,.510,.510,1.8,2.5,.708,1.1,2.6,3.7,5.2,0.9,0.0,2.1,2.3,5.0,
Fred Saunders,26,2TM,SF,56,,11.5,1.8,4.2,.423,1.8,4.2,.423,.423,0.5,0.6,.722,0.7,1.3,2.0,0.8,0.4,0.3,0.8,1.9,4.0,
Fred Saunders,26,BOS,SF,26,,9.3,1.2,3.5,.330,1.2,3.5,.330,.330,0.5,0.7,.824,0.4,1.0,1.4,0.4,0.3,0.2,0.8,1.3,2.8,
