Player,Age,Team,Pos,G,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
Howard Komives,32,KCO,PG,44,18.9,1.8,4.4,.406,1.8,4.4,.406,.406,0.8,0.9,.868,0.2,0.8,1.0,2.2,0.7,0.1,1.9,4.3,
Walt Wesley,29,CAP,C,39,10.3,1.8,3.9,.470,1.8,3.9,.470,.470,0.7,1.1,.605,1.6,1.9,3.5,0.4,0.2,0.5,1.9,4.3,
Jim Davis,32,DET,C,78,12.1,1.5,3.6,.413,1.5,3.6,.413,.413,1.2,1.8,.647,1.3,2.4,3.8,1.1,0.5,0.4,2.0,4.2,
Lamar Green,26,PHO,PF,72,15.3,1.8,4.4,.407,1.8,4.4,.407,.407,0.5,0.9,.559,1.2,3.7,4.9,0.6,0.4,0.5,2.1,4.1,
Manny Leaks,28,CAP,C,53,15.9,1.5,4.4,.341,1.5,4.4,.341,.341,1.1,1.6,.699,1.8,2.8,4.6,0.5,0.2,0.7,1.8,4.1,
Phil Hankinson,22,BOS,SF,28,5.8,1.8,3.7,.485,1.8,3.7,.485,.485,0.4,0.5,.769,0.8,1.0,1.8,0.1,0.1,0.0,0.6,3.9,
Ken Charles,22,BUF,SG,59,11.7,1.5,3.1,.476,1.5,3.1,.476,.476,0.9,1.3,.671,0.4,0.7,1.1,0.9,0.5,0.2,1.5,3.9,
Charlie Davis,24,POR,SG,8,11.3,1.8,5.0,.350,1.8,5.0,.350,.350,0.4,0.5,.750,0.3,1.1,1.4,1.4,0.3,0.0,0.9,3.9,
Rowland Garrett,23,CHI,SF,41,9.1,1.7,4.5,.370,1.7,4.5,.370,.370,0.5,0.8,.656,0.8,1.0,1.7,0.3,0.1,0.2,1.0,3.8,
Kermit Washington,22,LAL,PF,45,8.9,1.6,3.4,.483,1.6,3.4,.483,.483,0.6,1.1,.531,1.4,1.9,3.3,0.4,0.5,0.4,1.7,3.8,
Walt Hazzard,31,SEA,PG,49,11.7,1.6,3.7,.422,1.6,3.7,.422,.422,0.7,0.9,.756,0.4,0.8,1.2,2.5,0.5,0.1,1.6,3.8,
Greg Smith,27,POR,SF,67,13.1,1.5,3.4,.434,1.5,3.4,.434,.434,0.7,1.2,.608,1.0,1.9,2.8,1.2,0.6,0.1,1.9,3.7,
John Wetzel,29,ATL,SG,70,17.6,1.5,3.6,.425,1.5,3.6,.425,.425,0.6,0.8,.719,0.6,1.9,2.4,2.0,1.0,0.3,2.1,3.6,
Harthorne Wingo,26,NYK,PF,60,8.9,1.4,2.9,.477,1.4,2.9,.477,.477,0.8,1.3,.632,1.2,1.6,2.8,0.4,0.1,0.2,1.4,3.5,
Tom Boerwinkle,28,CHI,C,46,13.1,1.3,2.6,.487,1.3,2.6,.487,.487,0.9,1.3,.700,1.2,3.5,4.6,2.0,0.3,0.4,1.7,3.4,
Rick Adelman,27,CHI,PG,55,11.2,1.2,3.1,.376,1.2,3.1,.376,.376,1.0,1.4,.711,0.3,1.0,1.3,1.0,0.7,0.0,1.1,3.3,
Mel Counts,32,LAL,C,45,11.1,1.4,3.7,.365,1.4,3.7,.365,.365,0.5,0.7,.727,1.2,2.0,3.2,1.2,0.4,0.5,1.9,3.2,
Nate Hawthorne,24,LAL,SG,33,6.9,1.2,2.8,.409,1.2,2.8,.409,.409,0.9,1.5,.625,0.5,0.5,1.0,0.7,0.3,0.2,1.0,3.2,
Terry Driscoll,26,MIL,PF,64,10.9,1.4,2.9,.471,1.4,2.9,.471,.471,0.5,0.7,.652,1.1,2.0,3.1,0.8,0.3,0.3,1.9,3.2,
Milt Williams,28,SEA,PG,53,9.5,1.2,2.8,.416,1.2,2.8,.416,.416,0.8,1.2,.651,0.4,0.5,0.9,1.9,0.5,0.0,1.5,3.1,
Jim Owens,23,PHO,SF,17,5.9,1.2,2.3,.538,1.2,2.3,.538,.538,0.6,0.8,.786,0.1,0.5,0.5,0.9,0.3,0.0,0.4,3.1,
Bob Nash,23,DET,SF,35,8.0,1.2,3.3,.357,1.2,3.3,.357,.357,0.7,1.1,.615,0.9,1.2,2.1,0.4,0.1,0.3,1.0,3.0,
Lee Winfield,26,BUF,PG,36,12.0,1.0,2.9,.352,1.0,2.9,.352,.352,0.9,1.4,.635,0.5,0.7,1.2,1.3,0.4,0.1,1.2,3.0,
Dick Garrett,27,2TM,SG,40,8.2,1.1,3.2,.341,1.1,3.2,.341,.341,0.4,0.5,.789,0.4,0.6,1.0,0.6,0.3,0.0,1.4,2.5,
Dick Garrett,27,NYK,SG,25,9.6,1.3,3.6,.352,1.3,3.6,.352,.352,0.4,0.5,.769,0.4,0.6,1.0,0.6,0.3,0.0,1.6,3.0,
Dick Garrett,27,MIL,SG,15,5.8,0.7,2.3,.314,0.7,2.3,.314,.314,0.3,0.4,.833,0.3,0.6,0.9,0.6,0.2,0.0,1.0,1.8,
Rod Freeman,23,PHI,SF,35,7.6,1.1,2.9,.379,1.1,2.9,.379,.379,0.8,1.2,.683,0.6,0.9,1.5,0.4,0.3,0.0,1.2,3.0,
Dale Schlueter,28,ATL,C,57,9.6,1.1,2.4,.467,1.1,2.4,.467,.467,0.7,0.9,.760,0.9,1.8,2.7,0.8,0.4,0.4,1.5,2.9,
Tom Kozelko,22,CAP,PF,49,11.7,1.2,2.7,.444,1.2,2.7,.444,.444,0.5,0.7,.719,1.1,1.5,2.5,0.5,0.4,0.1,1.7,2.9,
Joe Ellis,29,GSW,SF,50,10.3,1.2,3.8,.321,1.2,3.8,.321,.321,0.4,0.6,.581,0.7,1.7,2.4,0.7,0.7,0.2,1.5,2.8,
Tom Ingelsby,22,ATL,PG,48,8.3,1.0,2.7,.382,1.0,2.7,.382,.382,0.6,0.8,.784,0.2,0.7,0.9,0.8,0.4,0.1,0.9,2.7,
Steve Downing,23,BOS,C,24,5.7,0.9,2.7,.328,0.9,2.7,.328,.328,0.9,1.6,.579,0.6,1.0,1.6,0.5,0.2,0.0,1.4,2.7,
Dennis Awtrey,25,CHI,C,68,11.1,1.0,1.8,.528,1.0,1.8,.528,.528,0.8,1.4,.574,0.7,1.8,2.6,1.3,0.3,0.2,1.9,2.7,
Art Williams,34,BOS,PG,67,9.2,1.1,2.5,.435,1.1,2.5,.435,.435,0.4,0.5,.844,0.3,1.4,1.7,2.4,0.7,0.0,1.5,2.6,
Mel Davis,23,NYK,PF,30,5.6,1.1,3.2,.347,1.1,3.2,.347,.347,0.4,0.5,.750,0.6,1.2,1.8,0.3,0.1,0.1,1.2,2.6,
Hank Finkel,31,BOS,C,60,7.1,1.0,2.2,.462,1.0,2.2,.462,.462,0.5,0.7,.651,0.7,1.6,2.3,0.5,0.1,0.1,1.0,2.5,
Russ Lee,24,MIL,SF,36,4.6,1.1,2.6,.404,1.1,2.6,.404,.404,0.3,0.4,.688,0.4,0.7,1.1,0.6,0.3,0.0,0.8,2.4,
Ted Manakas,22,KCO,SG,5,9.0,0.8,2.0,.400,0.8,2.0,.400,.400,0.8,0.8,1.000,0.0,0.6,0.6,0.4,0.2,0.0,0.8,2.4,
Joe Reaves,23,PHO,SF,7,5.4,0.9,1.6,.545,0.9,1.6,.545,.545,0.6,1.6,.364,0.3,0.9,1.1,0.1,0.0,0.3,0.9,2.3,
Tom Riker,23,NYK,C,17,3.4,0.8,1.7,.448,0.8,1.7,.448,.448,0.7,1.0,.706,0.5,0.4,0.9,0.2,0.0,0.0,0.4,2.2,
George Johnson,26,HOU,C,26,9.2,0.9,2.0,.451,0.9,2.0,.451,.451,0.3,0.7,.471,0.8,1.6,2.3,0.3,0.3,0.3,1.8,2.1,
John Tschogl,23,ATL,SF,64,7.8,0.9,2.6,.355,0.9,2.6,.355,.355,0.2,0.3,.588,0.5,0.7,1.2,0.5,0.3,0.3,1.1,2.0,
Allie McGuire,22,NYK,SG,2,5.0,1.0,2.0,.500,1.0,2.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,1.0,2.0,
Luther Rackley,27,PHI,C,9,7.6,0.6,1.4,.385,0.6,1.4,.385,.385,0.9,1.2,.727,0.6,1.9,2.4,0.0,0.3,0.4,1.2,2.0,
Justus Thigpen,26,KCO,SG,1,2.0,1.0,3.0,.333,1.0,3.0,.333,.333,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,
Ben Kelso,24,DET,SG,46,6.5,0.8,2.1,.365,0.8,2.1,.365,.365,0.3,0.5,.682,0.3,0.3,0.7,0.4,0.3,0.0,1.0,1.8,
Stan McKenzie,29,HOU,SG,11,10.2,0.6,2.2,.292,0.6,2.2,.292,.292,0.5,0.7,.750,0.3,1.2,1.5,0.5,0.3,0.0,1.5,1.8,
Mike Macaluso,22,BUF,SF,30,3.7,0.6,1.5,.432,0.6,1.5,.432,.432,0.3,0.6,.588,0.3,0.5,0.8,0.1,0.2,0.0,1.0,1.6,
Mark Sibley,23,POR,SG,28,4.4,0.7,2.0,.357,0.7,2.0,.357,.357,0.2,0.3,.857,0.3,0.6,0.9,0.5,0.1,0.0,0.8,1.6,
Paul Ruffner,25,BUF,C,20,2.6,0.6,1.4,.407,0.6,1.4,.407,.407,0.4,0.7,.615,0.2,0.4,0.6,0.0,0.1,0.1,0.5,1.5,
Vester Marshall,25,SEA,SF,13,13.4,0.5,2.2,.241,0.5,2.2,.241,.241,0.2,0.5,.429,1.1,1.8,2.8,0.3,0.3,0.2,1.5,1.3,
Rich Rinaldi,24,CAP,SG,7,6.9,0.4,3.1,.136,0.4,3.1,.136,.136,0.4,0.6,.750,0.3,0.7,1.0,1.4,0.4,0.1,1.0,1.3,
Chuck Terry,23,MIL,SF,7,4.6,0.6,1.7,.333,0.6,1.7,.333,.333,0.0,0.0,,0.1,0.3,0.4,0.6,0.3,0.0,0.6,1.1,
Travis Grant,24,LAL,SF,3,2.0,0.3,1.3,.250,0.3,1.3,.250,.250,0.3,1.0,.333,0.0,0.3,0.3,0.0,0.0,0.0,0.3,1.0,
Dick Cunningham,27,MIL,C,8,5.6,0.4,0.8,.500,0.4,0.8,.500,.500,0.0,0.9,.000,0.1,1.9,2.0,0.0,0.3,0.3,0.6,0.8,
Paul McCracken,23,HOU,SG,4,3.3,0.3,1.0,.250,0.3,1.0,.250,.250,0.0,0.0,,0.3,1.3,1.5,0.5,0.0,0.0,0.8,0.5,
Tom Patterson,25,CAP,SF,2,4.0,0.0,0.5,.000,0.0,0.5,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.5,
Jim Garvin,23,BUF,PF,6,1.8,0.2,0.7,.250,0.2,0.7,.250,.250,0.0,0.0,,0.2,0.7,0.8,0.0,0.0,0.0,0.2,0.3,
Dennis Bell,22,NYK,SF,1,4.0,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mike Ratliff,22,KCO,C,2,2.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
League Average,,,,,,,,.459,,,.459,.459,,,.771,,,,,,,,,
